name,date
B.US.1979.NYC16.KJ704790,1979.0
B.DE.2010.863847.KT124797,2010.0
B.US.2013.Donor8.C4.P5F5.KY748640,2013.0
B.US.2003.RHGA_E4.KC312522,2003.0
B.US.1994.AA94X20_647.AY451085,1994.0
B.US.1979.NYC7.KJ704791,1979.0
B.US.1993.SUMA736_161.AY282198,1993.0
B.US.2013.Donor8.B8.P9D10.KY748563,2013.0
B.US.2011.16TB1_F2.KF526198,2011.0
B.US.1984.gag343.KF701934,1984.0
B.US.1988.gag240.KF701859,1988.0
B.US.1992.E92X5_79.AY451113,1992.0
B.US.1985.gag6.KF701648,1985.0
B.US.2012.607523.KT124784,2012.0
B.US.1987.gag96.KF701731,1987.0
B.AU.2003.PS3002_Day199.DQ676884,2003.0
B.US.1980.gag252.KF701869,1980.0
B.US.2007.73057_timepoint_2.GU561136,2007.0
B.US.2011.20CB7_47E12.KF526279,2011.0
B.US.1986.gag309.KF701908,1986.0
B.US.1993.SUMA736_173.AY282210,1993.0
B.FR.1993.RYO_M.Z79564,1993.0
B.US.2015.BVP12tCD4Rep1.1.F2.p4e17.KY057375,2015.0
B.US.1978.SF4.KJ704795,1978.0
B.US.2009.B.700010470.w60.454dps.5_C7.JX974329,2009.0
B.US.2008.B.700010470.w04.41dps.5_B10.JX973436,2008.0
B.US.2010.Pt1_DNA_10.KU677996,2010.0
B.US.1984.gag287.KF701891,1984.0
B.US.2011.19TB8_1C8.KF526258,2011.0
B.GB.2006.PMB91_GAG_0.KU142348,2006.0
B.PT.2000.00PTHDF2.AY161881,2000.0
B.US.2015.CP01.KX505577,2015.0
