name,numdate_given
A/California/58/2013|KM064441|4|12/12/2013|USA/1-1701,2013.94455852
A/Peru/PER081/2012|CY160928|4|02/03/2012|Peru/1-1701,2012.09034908
A/Hawaii/24/2012|KF789661|4|09/01/2012|USA/1-1701,2012.66803559
A/Singapore/TT802/2011|CY124487|4|12/09/2011|Singapore/1-1701,2011.93634497
A/Nicaragua/AGA2_11/2012|CY181657|4|09/05/2012|Nicaragua/1-1701,2012.678987
A/Singapore/H2013.422a/2013|KM069585|4|06/03/2013|Singapore/1-1701,2013.41889117
A/South_Dakota/01/2013|KF790452|4|02/01/2013|USA/1-1701,2013.08487337
A/Boston/DOA2_103/2012|CY148348|4|12/17/2012|USA/1-1701,2012.96098563
A/Delaware/07/2012|KC892230|4|04/21/2012|USA/1-1701,2012.30390144
A/Nebraska/06/2013|KF789618|4|02/09/2013|USA/1-1701,2013.10677618
A/Nicaragua/4236_02/2013|CY188121|4|07/31/2013|Nicaragua/1-1701,2013.57768652
A/Boston/YGA_01063/2012|CY168975|4|12/27/2012|USA/1-1701,2012.98836413
A/Boston/DOA2_105/2012|CY148364|4|12/21/2012|USA/1-1701,2012.97193703
A/Boston/YGA_01071/2012|CY169031|4|12/27/2012|USA/1-1701,2012.98836413
A/Texas/JMM_26/2012|CY134916|4|11/26/2012|USA/1-1701,2012.90349076
A/Boston/YGA_01004/2012|CY168551|4|12/20/2012|USA/1-1701,2012.96919918
A/Oklahoma/08/2013|KF790011|4|03/13/2013|USA/1-1701,2013.19438741
A/California/NHRC0001/2011|CY091581|4|01/14/2011|USA/1-1701,2011.03559206
A/Missouri/02/2013|KF790307|4|01/22/2013|USA/1-1701,2013.05749487
A/Maryland/30/2012|KF789667|4|07/26/2012|USA/1-1701,2012.56673511
A/Rochester/0065/2012|KR611824|4|12/19/2012|USA/1-1701,2012.96646133
A/Boston/YGA_00052/2013|CY168215|4|01/18/2013|USA/1-1701,2013.04654346
A/Tyumen/03/2012|KC135512|4|01/30/2012|Russia/1-1701,2012.07939767
A/Missouri/NHRC394071/2013|KF886344|4|02/11/2013|USA/1-1701,2013.11225188
A/Singapore/H2011.923/2011|KM069555|4|12/03/2011|Singapore/1-1701,2011.91991786
A/Tennessee/F2084c83A/2011|CY167740|4|03/23/2011|USA/1-1701,2011.22176591
A/Santa_Clara/YGA_03034/2013|CY170703|4|01/17/2013|USA/1-1701,2013.04380561
A/New_Jersey/01/2012|KC893122|4|02/03/2012|USA/1-1701,2012.09034908
A/Boston/YGA_02014/2012|CY170191|4|12/31/2012|USA/1-1701,2012.99931554
A/Philippines/FLU_PHB_0334/2011|KT888608|4|11/29/2011|Philippines/1-1701,2011.90896646
A/Arkansas/03/2013|KF790148|4|07/26/2013|USA/1-1701,2013.56399726
A/Lebanon/11L007/2011|KF000056|4|08/03/2011|Lebanon/1-1701,2011.58590007
A/Thailand/CU_B4730/2011|KP335865|4|05/30/2011|Thailand/1-1701,2011.40793977
A/Missouri/02/2012|KC892669|4|01/17/2012|USA/1-1701,2012.04380561
A/Ontario/030/2013|KF886362|4|01/29/2013|Canada/1-1701,2013.07665982
A/Delaware/15/2012|KF790440|4|11/12/2012|USA/1-1701,2012.86516085
