name,numdate_given
B.KR.1993.HP_7_93LSM4,1993.0
B.KR.2016.16JDH1-14655,2016.0
B.US.2008.CH302.PL.041608.A2.1,2008.0
B.FR.1985.pNL43_patent,1985.0
B.US.2004.USPI71101EI21y04061pcWG2B11,2004.0
B.US.1999.AD17_5C_TA7,1999.0
B.US.2013.Donor8.B9.P9G19,2013.0
B.KR.1992.HP_5_92PJH8,1992.0
B.US.1984.MNCG_MN,1984.0
B.US.2011.16TB4_24B3,2011.0
B.US.2013.Donor8.C4.P10F22,2013.0
B.US.2004.CR0116Y,2004.0
B.DE.1986.D148_86,1986.0
B.NL.1991.T1C1,1991.0
B.KR.2007.07CWS4-9865_HP-8,2007.0
B.US.1978.SF4,1978.0
B.BR.2003.BREPM1023,2003.0
B.US.1999.AD17_5C_A6,1999.0
B.US.2002.CP006p,2002.0
B.US.2005.USPI38417EI25y05051pcWG2B11,2005.0
B.US.1999.AD17_5P_A8,1999.0
B.US.1987.BC_BCSG3,1987.0
B.US.2006.CH40d111_G8,2006.0
B.KR.2012.12KYY4-11663,2012.0
B.NL.1997.T10C4,1997.0
B.US.2003.HIV_US_BID-V5279_2003,2003.0
B.KR.1993.93JJS10,1993.0
B.US.2010.Pt1_DNA_21,2010.0
B.US.1990.mb7,1990.0
B.US.1998.15387_1,1998.0
B.CN.2009.XLF6_39,2009.0
B.KR.1993.HP_18_93JHS6,1993.0
B.BR.2010.10BR_RJ008,2010.0
B.TH.1996.M149,1996.0
B.US.2008.B.700010470.S.0dps.5_A4,2008.0
B.US.1996.USPI55751EI18y96071pcWG2B5,1996.0
B.NL.1995.T3C13,1995.0
B.ZA.2000.TV047,2000.0
B.PE.2007.502_2649_wg1,2007.0
B.US.2005.05US_SAJ_NVS16,2005.0
B.US.2010.Pt1_RNA_10,2010.0
B.US.1995.USPI90770EI3y95061pcWG2B3,1995.0
B.MX.2014.MX-HIV-546,2014.0
B.US.2006.CH58d85_5C3,2006.0
B.NL.1994.T2C5,1994.0
B.MX.2013.MX-HIV-384,2013.0
B.NL.1994.T2C1,1994.0
B.KR.2013.13KKT6-11574,2013.0
B.US.2012.N8261_2.5C3,2012.0
B.CN.2008.2008SQ_A58,2008.0
B.US.2005.USPI83747EI210y05071pcWG2B1,2005.0
B.CN.2009.SQ10_141,2009.0
B.KR.2014.14HYH6-13240,2014.0
B.US.2007.CH40d412_H7,2007.0
B.US.1990.mc3,1990.0
B.US.2002.14189_1,2002.0
B.CA.1994.CANC3FULL,1994.0
B.US.1990.mc6,1990.0
B.CN.2004.SQ1_116,2004.0
B.GA.1988.OYI_397,1988.0
B.US.2007.MCST_B8,2007.0
B.CN.1998.YN9802,1998.0
B.US.1987.5113_87,1987.0
B.KR.2016.16KCSu6-15244_15245,2016.0
B.CN.2004.SQ2_171,2004.0
B.US.2004.268977,2004.0
B.US.1984.5019_84,1984.0
B.US.2005.USPI83747EI273y05091pcWG2B1,2005.0
B.US.1982.5048_82,1982.0
B.NL.1996.T8C9,1996.0
B.US.2007.CH40d412_G7,2007.0
B.KR.2016.HP-2-16JJW3-14914_14920,2016.0
B.US.2007.CH40d412_G9,2007.0
B.US.2015.Donor4.F6.2.5.p3b4,2015.0
B.CA.1996.WC10C_9,1996.0
B.ES.1989.H1p31,1989.0
B.PE.2007.502_1047_wg5,2007.0
B.US.1979.NYC12,1979.0
B.US.1979.NYC16,1979.0
B.KR.2016.16HYH7-15261,2016.0
B.KR.1992.92JIJ5,1992.0
B.US.2009.B.700010040.w169.1197dps.5_T6,2009.0
B.US.2001.REJO_flA2,2001.0
B.CA.1993.CANC6FULL,1993.0
B.US.1983.5018_83,1983.0
B.KR.1993.HP_8_93CWS5,1993.0
B.US.2003.580588C,2003.0
B.US.2007.502_2305_LH08,2007.0
B.IT.2007.pt_56,2007.0
B.CN.2008.2008SQ_A137,2008.0
B.KR.1992.92CNS5,1992.0
B.CN.2005.SQ4_201,2005.0
B.US.2010.Pt4_DNA_1,2010.0
B.CN.2009.CN-197,2009.0
B.US.1986.5113_86,1986.0
B.DK.2001.CTL_017,2001.0
B.KR.2012.12KYY10-11850_11854_11858,2012.0
B.US.2006.CH40d45_I13,2006.0
B.KR.2002.02LSP11-9903_HP-17,2002.0
B.NL.1997.T11C5,1997.0
B.US.2015.Donor4.B4.5.p3o8,2015.0
B.KR.2012.12JOE8-10383_10409,2012.0
B.JP.2012.DEMB12JP001,2012.0
B.US.1978.SF20,1978.0
B.NL.1991.T1C20,1991.0
B.GB.1986.GB8_46R,1986.0
B.US.2011.481811,2011.0
B.US.2006.CH77E_flC7,2006.0
B.FR.1983.REHTLV3_LAI_IIIB,1983.0
B.BR.2002.02BR013,2002.0
B.US.1985.5157_85,1985.0
B.US.2006.502_1174_FL11,2006.0
B.US.2014.Pt3_DNA_7,2014.0
B.US.1986.YU-10,1986.0
B.US.2016.2609,2016.0
B.CN.2009.09CNhnsy9,2009.0
B.US.2013.Donor8.B9.P9E19,2013.0
B.KR.2007.HP_9_07KDE12,2007.0
B.US.1984.5160_84,1984.0
B.US.1985.WCIPR,1985.0
